date,time,load_act
20240715,1200,3216
20240715,1300,3288
20240715,1400,3421
20240715,1500,3425
20240715,1600,3397
20240715,1700,3386
20240715,1800,3396
20240715,1900,3338
20240715,2000,3201
20240715,2100,3035
20240715,2200,2887
20240715,2300,2741
20240716,0,2538
20240716,100,2400
20240716,200,2358
20240716,300,2365
20240716,400,2396
20240716,500,2452
20240716,600,2622
20240716,700,2940
20240716,800,3357
20240716,900,3663
20240716,1000,3757
20240716,1100,3777
20240716,1200,3683
20240716,1300,3768
20240716,1400,3818
20240716,1500,3750
20240716,1600,3748
20240716,1700,3645
20240716,1800,3589
20240716,1900,3502
20240716,2000,3338
20240716,2100,3154
20240716,2200,3024
20240716,2300,2862
20240717,0,2646
20240717,100,2498
20240717,200,2450
20240717,300,2455
20240717,400,2472
20240717,500,2498
20240717,600,2624
20240717,700,2932
20240717,800,3405
20240717,900,3797
20240717,1000,3993
20240717,1100,4087
20240717,1200,4126
20240717,1300,4328
20240717,1400,4441
20240717,1500,4400
20240717,1600,4275
20240717,1700,4087
20240717,1800,4007
20240717,1900,3918
20240717,2000,3720
20240717,2100,3490
20240717,2200,3305
20240717,2300,3094
20240718,0,2832
20240718,100,2647
20240718,200,2574
20240718,300,2569
20240718,400,2579
20240718,500,2610
20240718,600,2792
20240718,700,3209
20240718,800,3756
20240718,900,4219
20240718,1000,4459
20240718,1100,4584
20240718,1200,4615
20240718,1300,4813
20240718,1400,4885
20240718,1500,4846
20240718,1600,4745
20240718,1700,4478
20240718,1800,4365
20240718,1900,4255
20240718,2000,4023
20240718,2100,3786
20240718,2200,3576
20240718,2300,3337
20240719,0,3034
20240719,100,2830
20240719,200,2735
20240719,300,2715
20240719,400,2711
20240719,500,2737
20240719,600,2977
20240719,700,3463
20240719,800,4119
20240719,900,4469
20240719,1000,4478
20240719,1100,4590
20240719,1200,4705
20240719,1300,4973
20240719,1400,5054
20240719,1500,5017
20240719,1600,4969
20240719,1700,4731
20240719,1800,4589
20240719,1900,4480
20240719,2000,4239
20240719,2100,3982
20240719,2200,3770
20240719,2300,3518
20240720,0,3217
20240720,100,2991
20240720,200,2864
20240720,300,2815
20240720,400,2782
20240720,500,2771
20240720,600,2913
20240720,700,3292
20240720,800,3816
20240720,900,4272
20240720,1000,4458
20240720,1100,4676
20240720,1200,4700
20240720,1300,4705
20240720,1400,4566
20240720,1500,4473
20240720,1600,4524
